stationId,hierarchy
1.15.0,Haldenvassdraget
1.200.0,Haldenvassdraget
1.41.0,Haldenvassdraget
1.42.0,Haldenvassdraget
1.43.0,Haldenvassdraget
1.45.0,Mjerma/Haldenvassdraget
1.46.0,Mjerma/Haldenvassdraget
1.47.0,Haldenvassdraget
1.48.0,Haldenvassdraget
1.49.0,Haldenvassdraget
1.50.0,Haldenvassdraget
1.52.0,Hemneselva/Haldenvassdraget
1.57.0,Haldenvassdraget
100.1.0,Valldøla
101.1.0,Tennfjordelva
101.4.1,Skorgelva
102.1.0,Hildreelva
103.1.0,Ulvåa/Rauma
103.10.0,Mongebekken/Rauma
103.12.0,Rauma
103.13.0,Verma/Rauma
103.19.0,Rauma
103.20.0,Isavassdraget
103.23.0,Glutra/Isavassdraget
103.3.0,Rauma
103.40.0,Rauma
103.41.0,Rauma
103.42.0,Rauma
103.45.0,Rauma
103.46.0,Rauma
103.48.0,Rauma
103.8.0,Innfjordselva
104.1.0,Eira
104.13.0,Eira
104.19.0,Indre mardøla/Mardøla/Eira
104.2.0,Eira
104.22.0,Mardøla/Eira
104.23.0,Visa
104.26.0,Mardøla/Eira
104.27.0,Eira
104.3.0,Eira
105.1.0,Osenvassdraget
107.3.0,Farstadelva
107.8.0,Sagelva
108.4.0,Vasskordelva
109.13.0,Litledalselva
109.14.0,Litledalselva
109.17.0,Reinsvasselva/Litledalselva
109.20.0,Driva
109.21.0,Driva
109.23.0,Festa/Driva
109.25.0,Vindøla/Driva
109.29.0,Grøa/Driva
109.35.0,Litledalselva
109.42.0,Driva
109.44.0,Driva
109.6.0,Grøa/Driva
109.9.0,Driva
11.4.0,Rotua/Glitra/Lierelva
110.1.0,"Averøy, Frei og Kristiansund kommuner"
110.2.0,"Averøy, Frei og Kristiansund kommuner"
111.10.0,Toåa
111.11.0,Viddalselva
111.14.1,Toåa
111.14.2,Toåa
111.5.0,Toåa
111.9.0,Søya
112.10.0,Nordsvorka/Svorka/Bøvra
112.11.0,Svorka/Bøvra
112.12.0,Litle bøvra/Bøvra
112.13.0,Folla/Surna
112.27.0,Surna
112.31.0,Rinda/Surna
112.32.0,Surna
112.33.0,Surna
112.35.0,Surna
112.40.0,Vinddølelva/Surna
112.43.0,Vinddølelva/Surna
112.8.0,Rinda/Surna
112.9.0,elv fra Langvatna/Gløna
113.11.0,Grytåa
113.2.0,Grytåa
114.1.0,Storelva
117.4.0,Lakselva
117.6.0,Lakselva
119.4.0,Søa
12.108.0,Hakavikelva/Vestfosselva/Drammensvassdraget
12.111.0,Åbjøra/Drammensvassdraget
12.112.0,Simoa/Drammensvassdraget
12.113.0,Simoa/Drammensvassdraget
12.114.0,Sokna/Drammensvassdraget
12.116.0,Flya/Åbjøra/Drammensvassdraget
12.117.0,Gjuva/Grøndøla/Hemsil/Hallingdalsvassdraget/Drammensvassdraget
12.125.0,Varaldsetåni/Votna/Hallingdalsvassdraget/Drammensvassdraget
12.126.0,Votna/Hallingdalsvassdraget/Drammensvassdraget
12.127.0,Tverråni/Votna/Hallingdalsvassdraget/Drammensvassdraget
12.128.0,Urundi/Åni/Hallingdalsvassdraget/Drammensvassdraget
12.129.0,Votna/Hallingdalsvassdraget/Drammensvassdraget
12.13.0,Rysna/Drammensvassdraget
12.130.0,Lauvdøla/Hemsil/Hallingdalsvassdraget/Drammensvassdraget
12.135.0,Åbjøra/Drammensvassdraget
12.136.0,Åbjøra/Drammensvassdraget
12.138.0,Åbjøra/Drammensvassdraget
12.139.0,Neselvi/Drammensvassdraget
12.140.0,Neselvi/Drammensvassdraget
12.142.0,Åni/Hallingdalsvassdraget/Drammensvassdraget
12.145.0,Flya/Åbjøra/Drammensvassdraget
12.146.0,Flya/Åbjøra/Drammensvassdraget
12.148.0,Drammensvassdraget
12.15.0,Drammensvassdraget
12.150.0,Rukkedøla/Hallingdalsvassdraget/Drammensvassdraget
12.151.0,Vestre bjonelva/Drammensvassdraget
12.152.0,Somma/Drammensvassdraget
12.156.0,Rysna/Drammensvassdraget
12.158.0,Drammensvassdraget
12.159.0,Hallingdalsvassdraget/Drammensvassdraget
12.160.0,Hallingdalsvassdraget/Drammensvassdraget
12.161.0,Ørteråni/Hallingdalsvassdraget/Drammensvassdraget
12.162.0,Hallingdalsvassdraget/Drammensvassdraget
12.167.0,Hallingdalsvassdraget/Drammensvassdraget
12.168.0,Tverråni/Neselvi/Drammensvassdraget
12.17.0,Dokka/Randselva/Drammensvassdraget
12.170.0,Hallingdalsvassdraget/Drammensvassdraget
12.171.0,Hølera/Drammensvassdraget
12.178.0,Simoa/Drammensvassdraget
12.188.0,Trommaldelva/Hallingdalsvassdraget/Drammensvassdraget
12.19.0,Åvella/Randselva/Drammensvassdraget
12.190.0,Somma/Drammensvassdraget
12.192.0,Lianelva/Vestfosselva/Drammensvassdraget
12.193.0,Fiskumelva/Vestfosselva/Drammensvassdraget
12.194.0,Drammensvassdraget
12.197.0,Grunka/Flya/Åbjøra/Drammensvassdraget
12.20.0,Velmundselva/Randselva/Drammensvassdraget
12.200.0,Randselva/Drammensvassdraget
12.207.0,Vinda/Neselvi/Drammensvassdraget
12.208.0,Drammensvassdraget
12.209.0,Urula/Drammensvassdraget
12.212.0,Heieelvi/Hallingdalsvassdraget/Drammensvassdraget
12.215.0,Hemsil/Hallingdalsvassdraget/Drammensvassdraget
12.228.0,Randselva/Drammensvassdraget
12.24.0,Horga/Simoa/Drammensvassdraget
12.26.0,Grytelva/Horga/Simoa/Drammensvassdraget
12.27.0,Grytelva/Horga/Simoa/Drammensvassdraget
12.285.0,Drammensvassdraget
12.286.0,Vigga/Randselva/Drammensvassdraget
12.289.0,Drammensvassdraget
12.29.0,Horga/Simoa/Drammensvassdraget
12.290.0,Drammensvassdraget
12.298.0,Drammensvassdraget
12.304.0,Hallingdalsvassdraget/Drammensvassdraget
12.306.0,Hallingdalsvassdraget/Drammensvassdraget
12.308.0,Hallingdalsvassdraget/Drammensvassdraget
12.309.0,Randselva/Drammensvassdraget
12.31.0,Flya/Åbjøra/Drammensvassdraget
12.311.0,Randselva/Drammensvassdraget
12.315.0,Dokka/Randselva/Drammensvassdraget
12.319.0,Randselva/Drammensvassdraget
12.325.0,Drammensvassdraget
12.333.0,Drammensvassdraget
12.335.0,Neselvi/Drammensvassdraget
12.336.0,Neselvi/Drammensvassdraget
12.343.12,Hallingdalsvassdraget/Drammensvassdraget
12.344.1,Urula/Drammensvassdraget
12.368.1,Hallingdalsvassdraget/Drammensvassdraget
12.37.0,Ylja/Drammensvassdraget
12.377.24,Hallingdalsvassdraget/Drammensvassdraget
12.5.0,Drammensvassdraget
12.534.0,Drammensvassdraget
12.534.1,Drammensvassdraget
12.534.3,Drammensvassdraget
12.534.4,Drammensvassdraget
12.534.5,Drammensvassdraget
12.534.6,Drammensvassdraget
12.534.7,Drammensvassdraget
12.534.8,Drammensvassdraget
12.534.9,Drammensvassdraget
12.548.0,Hallingdalsvassdraget/Drammensvassdraget
12.549.0,Åni/Hallingdalsvassdraget/Drammensvassdraget
12.550.0,Hallingdalsvassdraget/Drammensvassdraget
12.551.0,Hemsil/Hallingdalsvassdraget/Drammensvassdraget
12.553.0,Vestfosselva/Drammensvassdraget
12.554.0,Åni/Hallingdalsvassdraget/Drammensvassdraget
12.555.0,Åni/Hallingdalsvassdraget/Drammensvassdraget
12.582.0,Ylja/Drammensvassdraget
12.599.0,Vigga/Randselva/Drammensvassdraget
12.6.0,Åni/Hallingdalsvassdraget/Drammensvassdraget
12.600.0,Vigga/Randselva/Drammensvassdraget
